T (K),P (Pa),x1,y1,k12,k21,r,s,k1_VdW,k2_VdW
223.11,680900,0,0,,,,,,
223.11,796400,0.074,0.178,,,,,,
223.11,855200,0.153,0.262,,,,,,
223.11,896700,0.309,0.353,,,,,,
223.11,901800,0.411,0.393,,,,,,
223.11,894700,0.507,0.431,,,,,,
223.11,875400,0.598,0.479,,,,,,
223.11,863300,0.651,0.495,,,,,,
223.11,813600,0.755,0.577,,,,,,
223.11,736600,0.864,0.686,,,,,,
223.11,624200,0.957,0.859,,,,,,
223.11,552200,1,1,,,,,,
243.11,1427700,0,0,,,,,,
243.11,1546200,0.052,0.106,,,,,,
243.11,1673900,0.156,0.224,,,,,,
243.11,1729600,0.277,0.309,,,,,,
243.11,1737700,0.364,0.355,,,,,,
243.11,1729600,0.424,0.39,,,,,,
243.11,1707300,0.496,0.427,,,,,,
243.11,1638400,0.624,0.5,,,,,,
243.11,1533000,0.747,0.59,,,,,,
243.11,1414500,0.834,0.684,,,,,,
243.11,1244300,0.929,0.823,,,,,,
243.11,1156100,0.967,0.904,,,,,,
243.11,1063900,1,1,,,,,,
263.1,2641500,0,0,,,,,,
263.1,2823900,0.063,0.1,,,,,,
263.1,2960700,0.142,0.184,,,,,,
263.1,3028600,0.227,0.255,,,,,,
263.1,3050900,0.341,0.334,,,,,,
263.1,3008300,0.452,0.404,,,,,,
263.1,2895900,0.575,0.486,,,,,,
263.1,2780400,0.661,0.547,,,,,,
263.1,2660800,0.727,0.603,,,,,,
263.1,2411500,0.835,0.714,,,,,,
263.1,2018400,0.955,0.896,,,,,,
263.1,1859300,1,1,,,,,,
283.1,4492800,0,0,,,,,,
283.1,4638700,0.039,0.053,,,,,,
283.1,4741000,0.072,0.092,,,,,,
283.1,4963900,0.127,0.148,,,,,,
283.1,4924400,0.167,0.185,,,,,,
283.1,4994300,0.27,0.273,,,,,,
283.1,4975100,0.345,0.334,,,,,,
283.1,4851400,0.458,0.422,,,,,,
283.1,4617400,0.579,0.52,,,,,,
283.1,4308300,0.689,0.616,,,,,,
283.1,4068200,0.766,0.685,,,,,,
283.1,3654800,0.872,0.802,,,,,,
283.1,3202900,0.967,0.939,,,,,,
283.1,3009400,1,1,,,,,,
293.1,5718800,0,0,,,,,,
293.1,5883900,0.039,0.048,,,,,,
293.1,6098800,0.111,0.124,,,,,,
293.1,6233500,0.178,0.188,,,,,,
293.1,6304400,0.226,0.229,,,,,,
293.1,5271900,0.687,0.659,,,,,,
293.1,4927400,0.784,0.737,,,,,,
293.1,4446100,0.881,0.841,,,,,,
293.1,4002300,0.963,0.942,,,,,,
293.1,3766300,1,1,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
