T (K),P (Pa),x1,y1,k12,k21,r,s,k1_VdW,k2_VdW
223.11,680900,1,1,,,,,,
223.11,796400,0.926,0.822,,,,,,
223.11,855200,0.847,0.738,,,,,,
223.11,896700,0.691,0.647,,,,,,
223.11,901800,0.589,0.607,,,,,,
223.11,894700,0.493,0.569,,,,,,
223.11,875400,0.402,0.521,,,,,,
223.11,863300,0.349,0.505,,,,,,
223.11,813600,0.245,0.423,,,,,,
223.11,736600,0.136,0.314,,,,,,
223.11,624200,0.043,0.141,,,,,,
223.11,552200,0,0,,,,,,
243.11,1427700,1,1,,,,,,
243.11,1546200,0.948,0.894,,,,,,
243.11,1673900,0.844,0.776,,,,,,
243.11,1729600,0.723,0.691,,,,,,
243.11,1737700,0.636,0.645,,,,,,
243.11,1729600,0.576,0.61,,,,,,
243.11,1707300,0.504,0.573,,,,,,
243.11,1638400,0.376,0.5,,,,,,
243.11,1533000,0.253,0.41,,,,,,
243.11,1414500,0.166,0.316,,,,,,
243.11,1244300,0.071,0.177,,,,,,
243.11,1156100,0.033,0.096,,,,,,
243.11,1063900,0,0,,,,,,
263.1,2641500,1,1,,,,,,
263.1,2823900,0.937,0.9,,,,,,
263.1,2960700,0.858,0.816,,,,,,
263.1,3028600,0.773,0.745,,,,,,
263.1,3050900,0.659,0.666,,,,,,
263.1,3008300,0.548,0.596,,,,,,
263.1,2895900,0.425,0.514,,,,,,
263.1,2780400,0.339,0.453,,,,,,
263.1,2660800,0.273,0.397,,,,,,
263.1,2411500,0.165,0.286,,,,,,
263.1,2018400,0.045,0.104,,,,,,
263.1,1859300,0,0,,,,,,
283.1,4492800,1,1,,,,,,
283.1,4638700,0.961,0.947,,,,,,
283.1,4741000,0.928,0.908,,,,,,
283.1,4963900,0.873,0.852,,,,,,
283.1,4924400,0.833,0.815,,,,,,
283.1,4994300,0.73,0.727,,,,,,
283.1,4975100,0.655,0.666,,,,,,
283.1,4851400,0.542,0.578,,,,,,
283.1,4617400,0.421,0.48,,,,,,
283.1,4308300,0.311,0.384,,,,,,
283.1,4068200,0.234,0.315,,,,,,
283.1,3654800,0.128,0.198,,,,,,
283.1,3202900,0.033,0.061,,,,,,
283.1,3009400,0,0,,,,,,
293.1,5718800,1,1,,,,,,
293.1,5883900,0.961,0.952,,,,,,
293.1,6098800,0.889,0.876,,,,,,
293.1,6233500,0.822,0.812,,,,,,
293.1,6304400,0.774,0.771,,,,,,
293.1,5271900,0.313,0.341,,,,,,
293.1,4927400,0.216,0.263,,,,,,
293.1,4446100,0.119,0.159,,,,,,
293.1,4002300,0.037,0.058,,,,,,
293.1,3766300,0,0,,,,,,
