T (K),P (Pa),x1,y1
281.15,5714.421355,1E-11,1E-12
281.15,5798.189784,0.0221,0.0363
281.15,5867.517416,0.0413,0.0656
281.15,6011.505573,0.0859,0.127
281.15,6278.150309,0.2027,0.2567
281.15,6427.471361,0.319,0.3589
281.15,6492.799322,0.4535,0.4605
281.15,6398.14044,0.6679,0.6158
281.15,6263.484849,0.762,0.6929
281.15,6063.501297,0.8499,0.7791
281.15,5800.856232,0.9282,0.8774
281.15,5663.534193,0.9618,0.9297
281.15,5550.21018,0.9847,0.9702
281.15,5462.722077,0.9999999,1
283.15,6342.145033,1E-11,1E-12
283.15,6588.791427,0.061,0.0953
283.15,6978.092741,0.2149,0.271
283.15,7138.079583,0.3187,0.36
283.15,7168.743727,0.432,0.4453
283.15,7214.073332,0.5246,0.5106
283.15,7138.079583,0.6117,0.5735
283.15,6972.759846,0.7256,0.6626
283.15,6843.437149,0.804,0.7312
283.15,6615.4559,0.883,0.82
283.15,6555.460835,0.8999,0.8382
283.15,6071.500625,0.9999999,1
287.15,7739.658686,1E-11,1E-12
287.15,7850.021028,0.0221,0.0356
287.15,7938.013791,0.0413,0.0645
287.15,8125.99833,0.0859,0.1253
287.15,8469.970039,0.2027,0.2551
287.15,8672.620038,0.319,0.3582
287.15,8767.27892,0.4535,0.4613
287.15,8644.622341,0.6679,0.6193
287.15,8469.970039,0.762,0.6975
287.15,8217.990764,0.8499,0.7841
287.15,7882.018396,0.9282,0.8814
287.15,7702.033199,0.9618,0.9324
287.15,7564.71116,0.9847,0.9715
287.15,7456.72003,0.9999999,1
293.15,10333.81674,1E-11,1E-12
293.15,10475.13845,0.0221,0.0349
293.15,10584.4628,0.0413,0.0633
293.15,10824.44306,0.0859,0.1235
293.15,11267.07332,0.2027,0.2531
293.15,11536.3845,0.319,0.3574
293.15,11659.04108,0.4535,0.4623
293.15,11513.7197,0.6679,0.623
293.15,11291.07135,0.762,0.702
293.15,10975.09733,0.8499,0.7887
293.15,10555.13187,0.9282,0.8847
293.15,10331.1503,0.9618,0.9345
293.15,10153.83155,0.9847,0.9725
293.15,10023.17561,0.9999999,1
298.06,12960.26739,1E-11,1E-12
298.06,14090.84107,0.1996,0.2493
298.06,14473.47627,0.3427,0.3768
298.06,14577.46772,0.4416,0.4541
298.06,14602.79897,0.5169,0.5105
298.06,14597.46607,0.5378,0.526
298.06,14560.13581,0.5858,0.5619
298.06,14502.80719,0.6154,0.5845
