T (K),P (Pa),T_c (K),P_c (Pa),V_c (m3 mol-1),Z_c,R (m3 Pa K-1 mol-1),w,a_c (Pa m6 mol-2),b_c (m3 mol-1),m (Adachi-Lu),m (Soave),virialT,virialB,name
250.0,808.361492,562.16,4898000.0,0.000256,0.268,8.31451,0.21,1.88173390643,0.000119285548734,0.865533,0.82958,295.2,-1528.0,benzene
260.3370655,1620.72662,,,,,,,,,,,308.2,-1352.0,
271.1015508,3125.887521,,,,,,,,,,,308.37,-1394.0,
282.3111288,5811.723117,,,,,,,,,,,323.2,-1202.0,
293.9842033,10437.43394,,,,,,,,,,,331.12,-1123.0,
306.1399392,18143.01347,,,,,,,,,,,331.16,-1125.0,
318.7982937,30584.49418,,,,,,,,,,,333.16,-1117.0,
331.9800491,50095.3794,,,,,,,,,,,335.16,-1103.0,
345.7068472,79873.89729,,,,,,,,,,,337.64,-1065.0,
360.0012245,124195.6566,,,,,,,,,,,338.16,-1088.0,
374.8866495,188652.3043,,,,,,,,,,,340.3,-1046.0,
390.387561,280419.2214,,,,,,,,,,,341.16,-1054.0,
406.5294082,408559.6044,,,,,,,,,,,343.16,-1023.0,
423.3386927,584379.3728,,,,,,,,,,,343.16,-1035.0,
440.843012,821859.3915,,,,,,,,,,,343.2,-1035.0,
459.0711044,1138213.661,,,,,,,,,,,348.16,-1011.0,
478.0528968,1554667.27,,,,,,,,,,,349.1,-969.0,
497.8195533,2097651.087,,,,,,,,,,,353.2,-944.0,
518.4035267,2800886.736,,,,,,,,,,,354.48,-938.0,
539.8386116,3709820.95,,,,,,,,,,,354.96,-939.0,
559.9278612,4764786.175,,,,,,,,,,,363.0,-900.0,
562.16,4898000.0,,,,,,,,,,,363.2,-891.0,
,,,,,,,,,,,,373.2,-814.0,
,,,,,,,,,,,,373.2,-833.0,
,,,,,,,,,,,,376.9,-830.0,
,,,,,,,,,,,,380.47,-785.0,
,,,,,,,,,,,,383.2,-808.0,
,,,,,,,,,,,,393.1,-729.0,
,,,,,,,,,,,,405.0,-724.0,
,,,,,,,,,,,,409.0,-668.0,
,,,,,,,,,,,,416.08,-641.0,
,,,,,,,,,,,,416.5,-638.0,
,,,,,,,,,,,,424.2,-572.0,
,,,,,,,,,,,,429.7,-599.0,
,,,,,,,,,,,,437.8,-516.0,
,,,,,,,,,,,,457.67,-521.0,
