T (K),P (Pa),T_c (K),P_c (Pa),V_c (m3 mol-1),Z_c,R (m3 Pa K−1 mol−1),w,a_c,b_c,m (Adachi-Lu),m (Soave),virialT,virialB
259,4220,508.1,4702000,0.209,0.23261786,8.31451,0.307,,,0.978609,0.957888,300.4,-2030
267.9,7034,,,,,,,,,,,304.64,-1796
277.1,11459,,,,,,,,,,,317.9,-1580
286.5,18260,,,,,,,,,,,323.16,-1439
296.4,28510,,,,,,,,,,,323.16,-1535
306.5,43650,,,,,,,,,,,326.02,-1378
317,65570,,,,,,,,,,,326.66,-1368
327.9,96790,,,,,,,,,,,329.3,-1370
339.1,140500,,,,,,,,,,,333.16,-1370
350.7,200770,,,,,,,,,,,337.3,-1230
362.8,282660,,,,,,,,,,,343.16,-1200
375.2,392460,,,,,,,,,,,345,-1130
388.1,537900,,,,,,,,,,,350.12,-1057
401.3,728200,,,,,,,,,,,351.57,-981
415.1,974900,,,,,,,,,,,370.06,-872
429.3,1291700,,,,,,,,,,,377.05,-808
444,1695500,,,,,,,,,,,402.38,-664
459.3,2206700,,,,,,,,,,,405.12,-656
475,2851700,,,,,,,,,,,405.2,-641
491.3,3665100,,,,,,,,,,,430.35,-495
506.4,4586900,,,,,,,,,,,430.88,-527
508.1,4702000,,,,,,,,,,,,
