T (K),P (Pa),T_c (K),P_c (Pa),V_c (m3 mol-1),Z_c,R (m3 Pa K−1 mol−1),w,a_c,b_c,m (Adachi-Lu),m (Soave),virialT,virialB
250,808.361492,562.16,4898000,0.256,0.268,8.31451,0.21,,,0.865533,0.82958,295.2,-1528
260.3370655,1620.72662,,,,,,,,,,,308.2,-1352
271.1015508,3125.887521,,,,,,,,,,,308.37,-1394
282.3111288,5811.723117,,,,,,,,,,,323.2,-1202
293.9842033,10437.43394,,,,,,,,,,,331.12,-1123
306.1399392,18143.01347,,,,,,,,,,,331.16,-1125
318.7982937,30584.49418,,,,,,,,,,,333.16,-1117
331.9800491,50095.3794,,,,,,,,,,,335.16,-1103
345.7068472,79873.89729,,,,,,,,,,,337.64,-1065
360.0012245,124195.6566,,,,,,,,,,,338.16,-1088
374.8866495,188652.3043,,,,,,,,,,,340.3,-1046
390.387561,280419.2214,,,,,,,,,,,341.16,-1054
406.5294082,408559.6044,,,,,,,,,,,343.16,-1023
423.3386927,584379.3728,,,,,,,,,,,343.16,-1035
440.843012,821859.3915,,,,,,,,,,,343.2,-1035
459.0711044,1138213.661,,,,,,,,,,,348.16,-1011
478.0528968,1554667.27,,,,,,,,,,,349.1,-969
497.8195533,2097651.087,,,,,,,,,,,353.2,-944
518.4035267,2800886.736,,,,,,,,,,,354.48,-938
539.8386116,3709820.95,,,,,,,,,,,354.96,-939
559.9278612,4764786.175,,,,,,,,,,,363,-900
562.16,4898000,,,,,,,,,,,363.2,-891
,,,,,,,,,,,,373.2,-814
,,,,,,,,,,,,373.2,-833
,,,,,,,,,,,,376.9,-830
,,,,,,,,,,,,380.47,-785
,,,,,,,,,,,,383.2,-808
,,,,,,,,,,,,393.1,-729
,,,,,,,,,,,,405,-724
,,,,,,,,,,,,409,-668
,,,,,,,,,,,,416.08,-641
,,,,,,,,,,,,416.5,-638
,,,,,,,,,,,,424.2,-572
,,,,,,,,,,,,429.7,-599
,,,,,,,,,,,,437.8,-516
,,,,,,,,,,,,457.67,-521
