T (K),P (Pa),T_c (K),P_c (Pa),V_c (m3 mol-1),Z_c,R (m3 Pa K−1 mol−1),w,a_c,b_c,m (Adachi-Lu),m (Soave),virialT,virialB
279.62,3594.647449,553.5,4070000,0.308,0.2723898,8.31451,0.25,,,0.931338,0.90742,295.2,-1718.082995
292.6619048,7209.295012,,,,,,,,,,,308.2,-1519.001339
305.7038095,13494.1472,,,,,,,,,,,308.2,-1519.001339
318.7457143,23783.28475,,,,,,,,,,,315.16,-1428.322459
331.787619,39768.47452,,,,,,,,,,,320.16,-1368.918382
344.8295238,63494.12047,,,,,,,,,,,323.16,-1335.356755
357.8714286,97330.41929,,,,,,,,,,,323.2,-1334.919258
370.9133333,143930.1418,,,,,,,,,,,324.3,-1322.988372
383.9552381,206176.7255,,,,,,,,,,,328.16,-1282.60412
396.9971429,287132.2014,,,,,,,,,,,331.16,-1252.731421
410.0390476,389993.0947,,,,,,,,,,,331.2,-1252.341676
423.0809524,518061.2555,,,,,,,,,,,333.16,-1233.51151
436.1228571,674735.1003,,,,,,,,,,,334.2,-1223.728733
449.1647619,863525.4656,,,,,,,,,,,337.5,-1193.608618
462.2066667,1088099.687,,,,,,,,,,,338.16,-1187.747617
475.2485714,1352358.182,,,,,,,,,,,341.6,-1158.040114
488.2904762,1660550.737,,,,,,,,,,,343.16,-1145.017393
501.332381,2017447.189,,,,,,,,,,,343.2,-1144.687053
514.3742857,2428596.23,,,,,,,,,,,344,-1138.117251
527.4161905,2900762.28,,,,,,,,,,,348.16,-1105.057447
540.4580952,3442858.384,,,,,,,,,,,350.9,-1084.248488
553.5,4070000,,,,,,,,,,,362.2,-1005.734046
,,,,,,,,,,,,370.3,-955.8450021
,,,,,,,,,,,,373.2,-939.1296213
,,,,,,,,,,,,380.4,-899.9999382
,,,,,,,,,,,,393.4,-836.9556133
,,,,,,,,,,,,404.2,-790.9568471
