T (K),P (Pa),T_c (K),P_c (Pa),V_c (m3 mol-1),Z_c,R (m3 Pa K−1 mol−1),w,a_c,b_c,m (Adachi-Lu),m (Soave),virialT,virialB
143.48,0.072775,469.6956,3365685.9,0.31041,0.2723898,8.31451,0.25085,,,0.930696,0.815999985,,
146.74,0.13905,,,,,,,,,,,,
150,0.2574,,,,,,,,,,,,
153.26,0.46256,,,,,,,,,,,,
156.53,0.80856,,,,,,,,,,,,
159.79,1.3772,,,,,,,,,,,,
163.05,2.2896,,,,,,,,,,,,
166.31,3.7208,,,,,,,,,,,,
169.58,5.9187,,,,,,,,,,,,
172.84,9.2276,,,,,,,,,,,,
176.1,14.117,,,,,,,,,,,,
179.36,21.215,,,,,,,,,,,,
182.62,31.352,,,,,,,,,,,,
185.89,45.602,,,,,,,,,,,,
189.15,65.345,,,,,,,,,,,,
192.41,92.318,,,,,,,,,,,,
195.67,128.69,,,,,,,,,,,,
198.94,177.13,,,,,,,,,,,,
202.2,240.89,,,,,,,,,,,,
205.46,323.88,,,,,,,,,,,,
208.72,430.78,,,,,,,,,,,,
211.98,567.11,,,,,,,,,,,,
215.25,739.33,,,,,,,,,,,,
218.51,954.93,,,,,,,,,,,,
221.77,1222.5,,,,,,,,,,,,
225.03,1552,,,,,,,,,,,,
228.29,1954.6,,,,,,,,,,,,
231.56,2442.9,,,,,,,,,,,,
234.82,3030.9,,,,,,,,,,,,
238.08,3734.5,,,,,,,,,,,,
241.34,4570.8,,,,,,,,,,,,
244.61,5559.1,,,,,,,,,,,,
247.87,6720.3,,,,,,,,,,,,
251.13,8076.9,,,,,,,,,,,,
254.39,9653.8,,,,,,,,,,,,
257.65,11477.3,,,,,,,,,,,,
260.92,13576.1,,,,,,,,,,,,
264.18,15980.7,,,,,,,,,,,,
267.44,18723.5,,,,,,,,,,,,
270.7,21839.2,,,,,,,,,,,,
273.97,25364.1,,,,,,,,,,,,
277.23,29336.8,,,,,,,,,,,,
280.49,33797.8,,,,,,,,,,,,
283.75,38789.4,,,,,,,,,,,,
287.01,44356.2,,,,,,,,,,,,
290.28,50544.3,,,,,,,,,,,,
293.54,57401.7,,,,,,,,,,,,
296.8,64978.5,,,,,,,,,,,,
300.06,73326.2,,,,,,,,,,,,
303.32,82498.3,,,,,,,,,,,,
306.59,92549.8,,,,,,,,,,,,
309.85,103537.3,,,,,,,,,,,,
313.11,115519.1,,,,,,,,,,,,
316.37,128554.9,,,,,,,,,,,,
319.64,142705.8,,,,,,,,,,,,
322.9,158034.5,,,,,,,,,,,,
326.16,174604.9,,,,,,,,,,,,
329.42,192482.2,,,,,,,,,,,,
332.68,211733.1,,,,,,,,,,,,
335.95,232425.2,,,,,,,,,,,,
339.21,254627.5,,,,,,,,,,,,
342.47,278410.1,,,,,,,,,,,,
345.73,303844.3,,,,,,,,,,,,
349,331002.5,,,,,,,,,,,,
352.26,359958.2,,,,,,,,,,,,
355.52,390785.9,,,,,,,,,,,,
358.78,423561.3,,,,,,,,,,,,
362.04,458361.3,,,,,,,,,,,,
365.31,495263.6,,,,,,,,,,,,
368.57,534347.5,,,,,,,,,,,,
371.83,575693.1,,,,,,,,,,,,
375.09,619381.8,,,,,,,,,,,,
378.35,665496.6,,,,,,,,,,,,
381.62,714121.5,,,,,,,,,,,,
384.88,765342.2,,,,,,,,,,,,
388.14,819245.7,,,,,,,,,,,,
391.4,875921.1,,,,,,,,,,,,
394.67,935458.9,,,,,,,,,,,,
397.93,997951.92,,,,,,,,,,,,
401.19,1063495.1,,,,,,,,,,,,
404.45,1132185.8,,,,,,,,,,,,
407.71,1204124.1,,,,,,,,,,,,
410.98,1279413.1,,,,,,,,,,,,
414.24,1358159.4,,,,,,,,,,,,
417.5,1440473.4,,,,,,,,,,,,
420.76,1526469.6,,,,,,,,,,,,
424.03,1616267.8,,,,,,,,,,,,
427.29,1709993.4,,,,,,,,,,,,
430.55,1807778.1,,,,,,,,,,,,
433.81,1909761.6,,,,,,,,,,,,
437.07,2016092.6,,,,,,,,,,,,
440.34,2126930.2,,,,,,,,,,,,
443.6,2242447.1,,,,,,,,,,,,
446.86,2362831.9,,,,,,,,,,,,
450.12,2488293.8,,,,,,,,,,,,
453.38,2619069.1,,,,,,,,,,,,
456.65,2755431.3,,,,,,,,,,,,
459.91,2897709.3,,,,,,,,,,,,
463.17,3046323.8,,,,,,,,,,,,
469.7,3365685.9,,,,,,,,,,,,
