T (K),P (Pa),T_c (K),P_c (Pa),V_c (m3 mol-1),Z_c,R (m3 Pa K-1 mol-1),w,a_c (Pa m6 mol-2),b_c (m3 mol-1),m (Adachi-Lu),m (Soave),virialT,virialB,name
216.59,517278.8,304.1586,7381661.9,0.094031,0.27447,8.13451,0.22567,0.34985866655,4.18974278219e-05,0.865109832976,0.854201978262,,,carbon_dioxide
217.59,540252.9,,,,,,,,,,,,,
218.59,563981.0,,,,,,,,,,,,,
219.59,588478.4,,,,,,,,,,,,,
220.59,613760.7,,,,,,,,,,,,,
221.59,639843.4,,,,,,,,,,,,,
222.59,666742.3,,,,,,,,,,,,,
223.59,694473.2,,,,,,,,,,,,,
224.59,723052.1,,,,,,,,,,,,,
225.59,752494.9,,,,,,,,,,,,,
226.59,782817.8,,,,,,,,,,,,,
227.59,814037.1,,,,,,,,,,,,,
228.59,846169.1,,,,,,,,,,,,,
229.59,879230.3,,,,,,,,,,,,,
230.59,913237.3,,,,,,,,,,,,,
231.59,948206.7,,,,,,,,,,,,,
232.59,984155.4,,,,,,,,,,,,,
233.59,1021100.2,,,,,,,,,,,,,
234.59,1059058.3,,,,,,,,,,,,,
235.59,1098046.6,,,,,,,,,,,,,
236.59,1138082.6,,,,,,,,,,,,,
237.59,1179183.5,,,,,,,,,,,,,
238.59,1221366.8,,,,,,,,,,,,,
239.59,1264650.2,,,,,,,,,,,,,
240.59,1309051.3,,,,,,,,,,,,,
241.59,1354588.1,,,,,,,,,,,,,
242.59,1401278.5,,,,,,,,,,,,,
243.59,1449140.6,,,,,,,,,,,,,
244.59,1498192.7,,,,,,,,,,,,,
245.59,1548453.1,,,,,,,,,,,,,
246.59,1599940.3,,,,,,,,,,,,,
247.59,1652673.1,,,,,,,,,,,,,
248.59,1706670.1,,,,,,,,,,,,,
249.59,1761950.3,,,,,,,,,,,,,
250.59,1818532.9,,,,,,,,,,,,,
251.59,1876437.0,,,,,,,,,,,,,
252.59,1935682.1,,,,,,,,,,,,,
253.59,1996287.7,,,,,,,,,,,,,
254.59,2058273.6,,,,,,,,,,,,,
255.59,2121659.6,,,,,,,,,,,,,
256.59,2186466.0,,,,,,,,,,,,,
257.59,2252712.9,,,,,,,,,,,,,
258.59,2320420.8,,,,,,,,,,,,,
259.59,2389610.4,,,,,,,,,,,,,
260.59,2460302.7,,,,,,,,,,,,,
261.59,2532518.6,,,,,,,,,,,,,
262.59,2606279.6,,,,,,,,,,,,,
263.59,2681607.2,,,,,,,,,,,,,
264.59,2758523.2,,,,,,,,,,,,,
265.59,2837049.8,,,,,,,,,,,,,
266.59,2917209.2,,,,,,,,,,,,,
267.59,2999024.2,,,,,,,,,,,,,
268.59,3082517.7,,,,,,,,,,,,,
269.59,3167713.0,,,,,,,,,,,,,
270.59,3254633.7,,,,,,,,,,,,,
271.59,3343303.7,,,,,,,,,,,,,
272.59,3433747.5,,,,,,,,,,,,,
273.59,3525989.8,,,,,,,,,,,,,
274.59,3620055.9,,,,,,,,,,,,,
275.59,3715971.3,,,,,,,,,,,,,
276.59,3813762.3,,,,,,,,,,,,,
277.59,3913455.5,,,,,,,,,,,,,
278.59,4015078.2,,,,,,,,,,,,,
279.59,4118658.3,,,,,,,,,,,,,
280.59,4224224.4,,,,,,,,,,,,,
281.59,4331805.7,,,,,,,,,,,,,
282.59,4441432.2,,,,,,,,,,,,,
283.59,4553135.0,,,,,,,,,,,,,
284.59,4666945.9,,,,,,,,,,,,,
285.59,4782897.7,,,,,,,,,,,,,
286.59,4901024.6,,,,,,,,,,,,,
287.59,5021361.8,,,,,,,,,,,,,
288.59,5143946.2,,,,,,,,,,,,,
289.59,5268816.1,,,,,,,,,,,,,
290.59,5396011.8,,,,,,,,,,,,,
291.59,5525575.7,,,,,,,,,,,,,
292.59,5657552.4,,,,,,,,,,,,,
293.59,5791989.7,,,,,,,,,,,,,
294.59,5928938.7,,,,,,,,,,,,,
295.59,6068454.6,,,,,,,,,,,,,
296.59,6210597.7,,,,,,,,,,,,,
297.59,6355435.1,,,,,,,,,,,,,
298.59,6503042.2,,,,,,,,,,,,,
299.59,6653506.5,,,,,,,,,,,,,
300.59,6806933.0,,,,,,,,,,,,,
301.59,6963454.8,,,,,,,,,,,,,
302.59,7123257.6,,,,,,,,,,,,,
303.59,7286659.3,,,,,,,,,,,,,
304.59,7381661.9,,,,,,,,,,,,,
