T (K),P (Pa),T_c (K),P_c (Pa),V_c (m3 mol-1),Z_c,R (m3 Pa K-1 mol-1),w,a_c (Pa m6 mol-2),b_c (m3 mol-1),m (Adachi-Lu),m (Soave),virialT,virialB,name
279.82,5332.5,553.402,4069842.4,0.000308,0.2723898,8.31451,0.25,2.195320593,0.000141342,0.854231522395,0.826926035742,295.2,-1718.082995,cyclohexane
282.55,6146.4,,,,,,,,,,,308.2,-1519.001339,
285.29,7061.5,,,,,,,,,,,308.2,-1519.001339,
288.02,8087.3,,,,,,,,,,,315.16,-1428.322459,
290.76,9233.9,,,,,,,,,,,320.16,-1368.918382,
293.5,10511.9,,,,,,,,,,,323.16,-1335.356755,
296.23,11932.6,,,,,,,,,,,323.2,-1334.919258,
298.97,13507.8,,,,,,,,,,,324.3,-1322.988372,
301.7,15249.9,,,,,,,,,,,328.16,-1282.60412,
304.44,17172.0,,,,,,,,,,,331.16,-1252.731421,
307.17,19287.6,,,,,,,,,,,331.2,-1252.341676,
309.91,21610.9,,,,,,,,,,,333.16,-1233.51151,
312.65,24156.6,,,,,,,,,,,334.2,-1223.728733,
315.38,26940.3,,,,,,,,,,,337.5,-1193.608618,
318.12,29977.7,,,,,,,,,,,338.16,-1187.747617,
320.85,33285.4,,,,,,,,,,,341.6,-1158.040114,
323.59,36880.5,,,,,,,,,,,343.16,-1145.017393,
326.33,40780.5,,,,,,,,,,,343.2,-1144.687053,
329.06,45003.8,,,,,,,,,,,344.0,-1138.117251,
331.8,49569.0,,,,,,,,,,,348.16,-1105.057447,
334.53,54495.4,,,,,,,,,,,350.9,-1084.248488,
337.27,59802.7,,,,,,,,,,,362.2,-1005.734046,
340.0,65511.3,,,,,,,,,,,370.3,-955.8450021,
342.74,71641.9,,,,,,,,,,,373.2,-939.1296213,
345.48,78215.8,,,,,,,,,,,380.4,-899.9999382,
348.21,85254.7,,,,,,,,,,,393.4,-836.9556133,
350.95,92780.9,,,,,,,,,,,404.2,-790.9568471,
353.68,100816.9,,,,,,,,,,,,,
356.42,109385.9,,,,,,,,,,,,,
359.16,118511.3,,,,,,,,,,,,,
361.89,128217.1,,,,,,,,,,,,,
364.63,138527.6,,,,,,,,,,,,,
367.36,149467.4,,,,,,,,,,,,,
370.1,161061.6,,,,,,,,,,,,,
372.84,173335.6,,,,,,,,,,,,,
375.57,186315.1,,,,,,,,,,,,,
378.31,200026.3,,,,,,,,,,,,,
381.04,214495.6,,,,,,,,,,,,,
383.78,229749.7,,,,,,,,,,,,,
386.51,245815.6,,,,,,,,,,,,,
389.25,262720.7,,,,,,,,,,,,,
391.99,280492.5,,,,,,,,,,,,,
394.72,299159.1,,,,,,,,,,,,,
397.46,318748.5,,,,,,,,,,,,,
400.19,339289.2,,,,,,,,,,,,,
402.93,360809.9,,,,,,,,,,,,,
405.67,383339.6,,,,,,,,,,,,,
408.4,406907.4,,,,,,,,,,,,,
411.14,431542.9,,,,,,,,,,,,,
413.87,457275.7,,,,,,,,,,,,,
416.61,484135.9,,,,,,,,,,,,,
419.34,512153.7,,,,,,,,,,,,,
422.08,541359.4,,,,,,,,,,,,,
424.82,571784.0,,,,,,,,,,,,,
427.55,603458.3,,,,,,,,,,,,,
430.29,636413.7,,,,,,,,,,,,,
433.02,670681.7,,,,,,,,,,,,,
435.76,706294.1,,,,,,,,,,,,,
438.5,743283.1,,,,,,,,,,,,,
441.23,781681.1,,,,,,,,,,,,,
443.97,821520.9,,,,,,,,,,,,,
446.7,862835.7,,,,,,,,,,,,,
449.44,905658.8,,,,,,,,,,,,,
452.17,950024.3,,,,,,,,,,,,,
454.91,995966.2,,,,,,,,,,,,,
457.65,1043519.5,,,,,,,,,,,,,
460.38,1092719.2,,,,,,,,,,,,,
463.12,1143601.0,,,,,,,,,,,,,
465.85,1196201.2,,,,,,,,,,,,,
468.59,1250556.6,,,,,,,,,,,,,
471.33,1306704.4,,,,,,,,,,,,,
474.06,1364683.0,,,,,,,,,,,,,
476.8,1424531.0,,,,,,,,,,,,,
479.53,1486288.2,,,,,,,,,,,,,
482.27,1549994.9,,,,,,,,,,,,,
485.01,1615692.6,,,,,,,,,,,,,
487.74,1683423.8,,,,,,,,,,,,,
490.48,1753232.0,,,,,,,,,,,,,
493.21,1825162.1,,,,,,,,,,,,,
495.95,1899260.1,,,,,,,,,,,,,
498.68,1975573.8,,,,,,,,,,,,,
501.42,2054152.4,,,,,,,,,,,,,
504.16,2135047.2,,,,,,,,,,,,,
506.89,2218311.3,,,,,,,,,,,,,
509.63,2304000.3,,,,,,,,,,,,,
512.36,2392172.2,,,,,,,,,,,,,
515.1,2482888.2,,,,,,,,,,,,,
517.84,2576212.6,,,,,,,,,,,,,
520.57,2672213.8,,,,,,,,,,,,,
523.31,2770964.5,,,,,,,,,,,,,
526.04,2872542.8,,,,,,,,,,,,,
528.78,2977033.2,,,,,,,,,,,,,
531.51,3084527.7,,,,,,,,,,,,,
534.25,3195128.2,,,,,,,,,,,,,
536.99,3308948.6,,,,,,,,,,,,,
539.72,3426119.3,,,,,,,,,,,,,
542.46,3546793.6,,,,,,,,,,,,,
545.19,3671159.4,,,,,,,,,,,,,
547.93,3799463.2,,,,,,,,,,,,,
553.4,4069842.4,,,,,,,,,,,,,
