T (K),P (Pa),T_c (K),P_c (Pa),V_c (m3 mol-1),Z_c,R (m3 Pa K-1 mol-1),w,a_c (Pa m6 mol-2),b_c (m3 mol-1),m (Adachi-Lu),m (Soave),virialT,virialB,name
137.3,0.00014632,560.4515,4419295.4,0.0002851,0.2851,8.31451,0.21621,2.07290858252,0.000131804936633,0.889841094902,,,,cyclohexene
142.05,0.00049491,,,,,,,,,,,,,
146.81,0.0015363,,,,,,,,,,,,,
151.56,0.0044126,,,,,,,,,,,,,
156.32,0.011813,,,,,,,,,,,,,
161.07,0.029666,,,,,,,,,,,,,
165.83,0.07028,,,,,,,,,,,,,
170.58,0.15786,,,,,,,,,,,,,
175.34,0.33767,,,,,,,,,,,,,
180.09,0.69067,,,,,,,,,,,,,
184.84,1.3557,,,,,,,,,,,,,
189.6,2.5617,,,,,,,,,,,,,
194.35,4.6737,,,,,,,,,,,,,
199.11,8.2548,,,,,,,,,,,,,
203.86,14.148,,,,,,,,,,,,,
208.62,23.579,,,,,,,,,,,,,
213.37,38.292,,,,,,,,,,,,,
218.13,60.7,,,,,,,,,,,,,
222.88,94.078,,,,,,,,,,,,,
227.64,142.77,,,,,,,,,,,,,
232.39,212.46,,,,,,,,,,,,,
237.14,310.4,,,,,,,,,,,,,
241.9,445.73,,,,,,,,,,,,,
246.65,629.79,,,,,,,,,,,,,
251.41,876.47,,,,,,,,,,,,,
256.16,1202.5,,,,,,,,,,,,,
260.92,1627.8,,,,,,,,,,,,,
265.67,2175.8,,,,,,,,,,,,,
270.43,2873.9,,,,,,,,,,,,,
275.18,3753.5,,,,,,,,,,,,,
279.94,4850.6,,,,,,,,,,,,,
284.69,6205.8,,,,,,,,,,,,,
289.44,7864.7,,,,,,,,,,,,,
294.2,9877.9,,,,,,,,,,,,,
298.95,12301.5,,,,,,,,,,,,,
303.71,15196.8,,,,,,,,,,,,,
308.46,18630.7,,,,,,,,,,,,,
313.22,22675.4,,,,,,,,,,,,,
317.97,27408.7,,,,,,,,,,,,,
322.73,32914.1,,,,,,,,,,,,,
327.48,39280.0,,,,,,,,,,,,,
332.23,46600.5,,,,,,,,,,,,,
336.99,54974.7,,,,,,,,,,,,,
341.74,64506.6,,,,,,,,,,,,,
346.5,75305.2,,,,,,,,,,,,,
351.25,87483.9,,,,,,,,,,,,,
356.01,101160.9,,,,,,,,,,,,,
360.76,116458.2,,,,,,,,,,,,,
365.52,133502.0,,,,,,,,,,,,,
370.27,152422.4,,,,,,,,,,,,,
375.03,173352.8,,,,,,,,,,,,,
379.78,196430.4,,,,,,,,,,,,,
384.53,221795.1,,,,,,,,,,,,,
389.29,249590.4,,,,,,,,,,,,,
394.04,279962.3,,,,,,,,,,,,,
398.8,313059.7,,,,,,,,,,,,,
403.55,349034.1,,,,,,,,,,,,,
408.31,388039.9,,,,,,,,,,,,,
413.06,430233.7,,,,,,,,,,,,,
417.82,475774.8,,,,,,,,,,,,,
422.57,524825.3,,,,,,,,,,,,,
427.33,577549.7,,,,,,,,,,,,,
432.08,634115.5,,,,,,,,,,,,,
436.83,694693.2,,,,,,,,,,,,,
441.59,759456.4,,,,,,,,,,,,,
446.34,828582.4,,,,,,,,,,,,,
451.1,902252.3,,,,,,,,,,,,,
455.85,980651.4,,,,,,,,,,,,,
460.61,1063970.2,,,,,,,,,,,,,
465.36,1152404.3,,,,,,,,,,,,,
470.12,1246155.8,,,,,,,,,,,,,
474.87,1345433.7,,,,,,,,,,,,,
479.62,1450455.1,,,,,,,,,,,,,
484.38,1561446.5,,,,,,,,,,,,,
489.13,1678645.0,,,,,,,,,,,,,
493.89,1802300.1,,,,,,,,,,,,,
498.64,1932675.9,,,,,,,,,,,,,
503.4,2070053.3,,,,,,,,,,,,,
508.15,2214733.0,,,,,,,,,,,,,
512.91,2367039.5,,,,,,,,,,,,,
517.66,2527325.9,,,,,,,,,,,,,
522.42,2695979.9,,,,,,,,,,,,,
527.17,2873432.6,,,,,,,,,,,,,
531.92,3060169.7,,,,,,,,,,,,,
536.68,3256749.5,,,,,,,,,,,,,
541.43,3463829.5,,,,,,,,,,,,,
546.19,3682213.3,,,,,,,,,,,,,
550.94,3912944.5,,,,,,,,,,,,,
560.45,4419295.4,,,,,,,,,,,,,
