T (K),P (Pa),T_c (K),P_c (Pa),V_c (m3 mol-1),Z_c,R (m3 Pa K-1 mol-1),w,a_c (Pa m6 mol-2),b_c (m3 mol-1),m (Adachi-Lu),m (Soave),virialT,virialB,name
90.356,1.1198,305.3577,4880215.9,0.000146,0.28089,8.13451,0.099913,0.533365967206,6.36225762119e-05,0.701094516008,0.641931479217,,,ethane
92.506,1.9549,,,,,,,,,,,,,
94.656,3.3193,,,,,,,,,,,,,
96.806,5.4918,,,,,,,,,,,,,
98.956,8.8692,,,,,,,,,,,,,
101.11,14.004,,,,,,,,,,,,,
103.26,21.651,,,,,,,,,,,,,
105.41,32.82,,,,,,,,,,,,,
107.56,48.838,,,,,,,,,,,,,
109.71,71.423,,,,,,,,,,,,,
111.86,102.76,,,,,,,,,,,,,
114.01,145.61,,,,,,,,,,,,,
116.16,203.36,,,,,,,,,,,,,
118.31,280.19,,,,,,,,,,,,,
120.46,381.11,,,,,,,,,,,,,
122.61,512.16,,,,,,,,,,,,,
124.76,680.43,,,,,,,,,,,,,
126.91,894.27,,,,,,,,,,,,,
129.06,1163.3,,,,,,,,,,,,,
131.21,1498.8,,,,,,,,,,,,,
133.36,1913.2,,,,,,,,,,,,,
135.51,2421.1,,,,,,,,,,,,,
137.66,3038.5,,,,,,,,,,,,,
139.81,3783.4,,,,,,,,,,,,,
141.96,4675.9,,,,,,,,,,,,,
144.11,5737.9,,,,,,,,,,,,,
146.26,6993.7,,,,,,,,,,,,,
148.41,8469.4,,,,,,,,,,,,,
150.56,10193.6,,,,,,,,,,,,,
152.71,12197.2,,,,,,,,,,,,,
154.86,14513.1,,,,,,,,,,,,,
157.01,17176.6,,,,,,,,,,,,,
159.16,20225.5,,,,,,,,,,,,,
161.31,23699.7,,,,,,,,,,,,,
163.46,27641.5,,,,,,,,,,,,,
165.61,32095.3,,,,,,,,,,,,,
167.76,37107.8,,,,,,,,,,,,,
169.91,42728.0,,,,,,,,,,,,,
172.06,49007.0,,,,,,,,,,,,,
174.21,55997.8,,,,,,,,,,,,,
176.36,63755.8,,,,,,,,,,,,,
178.51,72338.0,,,,,,,,,,,,,
180.66,81803.6,,,,,,,,,,,,,
182.81,92213.6,,,,,,,,,,,,,
184.96,103630.5,,,,,,,,,,,,,
187.11,116119.0,,,,,,,,,,,,,
189.26,129745.1,,,,,,,,,,,,,
191.41,144576.3,,,,,,,,,,,,,
193.56,160682.0,,,,,,,,,,,,,
195.71,178132.7,,,,,,,,,,,,,
197.86,197000.3,,,,,,,,,,,,,
200.01,217358.2,,,,,,,,,,,,,
202.16,239280.8,,,,,,,,,,,,,
204.31,262843.8,,,,,,,,,,,,,
206.46,288124.1,,,,,,,,,,,,,
208.61,315199.5,,,,,,,,,,,,,
210.76,344149.1,,,,,,,,,,,,,
212.91,375052.6,,,,,,,,,,,,,
215.06,407991.0,,,,,,,,,,,,,
217.21,443046.1,,,,,,,,,,,,,
219.36,480300.4,,,,,,,,,,,,,
221.51,519837.4,,,,,,,,,,,,,
223.66,561741.6,,,,,,,,,,,,,
225.81,606098.0,,,,,,,,,,,,,
227.96,652992.6,,,,,,,,,,,,,
230.11,702512.3,,,,,,,,,,,,,
232.26,754744.7,,,,,,,,,,,,,
234.41,809778.1,,,,,,,,,,,,,
236.56,867701.9,,,,,,,,,,,,,
238.71,928606.4,,,,,,,,,,,,,
240.86,992582.6,,,,,,,,,,,,,
243.01,1059722.7,,,,,,,,,,,,,
245.16,1130119.8,,,,,,,,,,,,,
247.31,1203868.3,,,,,,,,,,,,,
249.46,1281063.5,,,,,,,,,,,,,
251.61,1361802.4,,,,,,,,,,,,,
253.76,1446183.0,,,,,,,,,,,,,
255.91,1534305.2,,,,,,,,,,,,,
258.06,1626270.5,,,,,,,,,,,,,
260.21,1722182.4,,,,,,,,,,,,,
262.36,1822146.4,,,,,,,,,,,,,
264.51,1926270.4,,,,,,,,,,,,,
266.66,2034665.1,,,,,,,,,,,,,
268.81,2147444.3,,,,,,,,,,,,,
270.96,2264724.8,,,,,,,,,,,,,
273.11,2386627.9,,,,,,,,,,,,,
275.26,2513279.1,,,,,,,,,,,,,
277.41,2644809.0,,,,,,,,,,,,,
279.56,2781354.5,,,,,,,,,,,,,
281.71,2923059.4,,,,,,,,,,,,,
283.86,3070076.2,,,,,,,,,,,,,
286.01,3222567.2,,,,,,,,,,,,,
288.16,3380707.7,,,,,,,,,,,,,
290.31,3544688.1,,,,,,,,,,,,,
292.46,3714719.2,,,,,,,,,,,,,
294.61,3891038.4,,,,,,,,,,,,,
296.76,4073920.7,,,,,,,,,,,,,
298.91,4263697.5,,,,,,,,,,,,,
301.06,4460795.6,,,,,,,,,,,,,
305.36,4880215.9,,,,,,,,,,,,,
