T (K),P (Pa),T_c (K),P_c (Pa),V_c (m3 mol-1),Z_c,R (m3 Pa K-1 mol-1),w,a_c (Pa m6 mol-2),b_c (m3 mol-1),m (Adachi-Lu),m (Soave),virialT,virialB,name
220.0,151.579772,507.9,3035000.0,0.000368,0.268,8.31451,0.3,2.47887621486,0.000173926673353,0.981466,0.952076,,,hexane
229.3984385,337.864264,,,,,,,,,,,,,
239.19838,719.993277,,,,,,,,,,,,,
249.4169767,1470.290407,,,,,,,,,,,,,
260.0721136,2883.680466,,,,,,,,,,,,,
271.1824399,5444.012696,,,,,,,,,,,,,
282.7674012,9914.155125,,,,,,,,,,,,,
294.8472741,17453.05389,,,,,,,,,,,,,
307.4432013,29761.76748,,,,,,,,,,,,,
320.5772287,49259.25934,,,,,,,,,,,,,
334.2723441,79287.9691,,,,,,,,,,,,,
348.5525171,124349.541,,,,,,,,,,,,,
363.4427417,190373.4048,,,,,,,,,,,,,
378.9690793,285026.3929,,,,,,,,,,,,,
395.1587047,418082.4082,,,,,,,,,,,,,
412.0399538,601891.9423,,,,,,,,,,,,,
429.6423728,852033.0355,,,,,,,,,,,,,
447.9967702,1188317.98,,,,,,,,,,,,,
467.1352707,1636571.296,,,,,,,,,,,,,
487.0913713,2232429.023,,,,,,,,,,,,,
505.8191371,2943720.396,,,,,,,,,,,,,
507.9,3035000.0,,,,,,,,,,,,,
