T (K),P (Pa),T_c (K),P_c (Pa),V_c (m3 mol-1),Z_c,R (m3 Pa K-1 mol-1),w,a_c (Pa m6 mol-2),b_c (m3 mol-1),m (Adachi-Lu),m (Soave),virialT,virialB,name
314.04,193.5,694.272,5528265.5,0.000285,0.2725,8.31451,0.397,2.542889677771935,0.00013052311540391828,1.1355719348186115,1.1259235595829886,'','',phenol
317.84,251.72,'','','','','','','','','','','','',''
321.64,324.97,'','','','','','','','','','','','',''
325.45,416.47,'','','','','','','','','','','','',''
329.25,529.96,'','','','','','','','','','','','',''
333.05,669.82,'','','','','','','','','','','','',''
336.85,841.04,'','','','','','','','','','','','',''
340.66,1049.4,'','','','','','','','','','','','',''
344.46,1301.4,'','','','','','','','','','','','',''
348.26,1604.6,'','','','','','','','','','','','',''
352.06,1967.2,'','','','','','','','','','','','',''
355.87,2398.6,'','','','','','','','','','','','',''
359.67,2909.3,'','','','','','','','','','','','',''
363.47,3510.9,'','','','','','','','','','','','',''
367.27,4216.1,'','','','','','','','','','','','',''
371.07,5039.2,'','','','','','','','','','','','',''
374.88,5995.4,'','','','','','','','','','','','',''
378.68,7101.7,'','','','','','','','','','','','',''
382.48,8376.3,'','','','','','','','','','','','',''
386.28,9839.1,'','','','','','','','','','','','',''
390.09,11511.2,'','','','','','','','','','','','',''
393.89,13415.8,'','','','','','','','','','','','',''
397.69,15577.2,'','','','','','','','','','','','',''
401.49,18021.7,'','','','','','','','','','','','',''
405.3,20777.2,'','','','','','','','','','','','',''
409.1,23873.2,'','','','','','','','','','','','',''
412.9,27340.8,'','','','','','','','','','','','',''
416.7,31213.0,'','','','','','','','','','','','',''
420.5,35524.5,'','','','','','','','','','','','',''
424.31,40311.5,'','','','','','','','','','','','',''
428.11,45612.0,'','','','','','','','','','','','',''
431.91,51465.6,'','','','','','','','','','','','',''
435.71,57913.5,'','','','','','','','','','','','',''
439.52,64998.5,'','','','','','','','','','','','',''
443.32,72765.1,'','','','','','','','','','','','',''
447.12,81259.0,'','','','','','','','','','','','',''
450.92,90527.7,'','','','','','','','','','','','',''
454.73,100620.0,'','','','','','','','','','','','',''
458.53,111585.9,'','','','','','','','','','','','',''
462.33,123477.2,'','','','','','','','','','','','',''
466.13,136346.5,'','','','','','','','','','','','',''
469.93,150247.9,'','','','','','','','','','','','',''
473.74,165236.6,'','','','','','','','','','','','',''
477.54,181368.9,'','','','','','','','','','','','',''
481.34,198702.4,'','','','','','','','','','','','',''
485.14,217295.4,'','','','','','','','','','','','',''
488.95,237207.6,'','','','','','','','','','','','',''
492.75,258499.2,'','','','','','','','','','','','',''
496.55,281231.7,'','','','','','','','','','','','',''
500.35,305467.3,'','','','','','','','','','','','',''
504.16,331269.1,'','','','','','','','','','','','',''
507.96,358701.0,'','','','','','','','','','','','',''
511.76,387827.8,'','','','','','','','','','','','',''
515.56,418715.0,'','','','','','','','','','','','',''
519.37,451429.0,'','','','','','','','','','','','',''
523.17,486037.0,'','','','','','','','','','','','',''
526.97,522606.9,'','','','','','','','','','','','',''
530.77,561207.6,'','','','','','','','','','','','',''
534.57,601908.7,'','','','','','','','','','','','',''
538.38,644780.9,'','','','','','','','','','','','',''
542.18,689895.9,'','','','','','','','','','','','',''
545.98,737326.1,'','','','','','','','','','','','',''
549.78,787145.3,'','','','','','','','','','','','',''
553.59,839428.4,'','','','','','','','','','','','',''
557.39,894251.7,'','','','','','','','','','','','',''
561.19,951692.8,'','','','','','','','','','','','',''
564.99,1011830.8,'','','','','','','','','','','','',''
568.8,1074746.7,'','','','','','','','','','','','',''
572.6,1140523.2,'','','','','','','','','','','','',''
576.4,1209245.2,'','','','','','','','','','','','',''
580.2,1280999.8,'','','','','','','','','','','','',''
584.0,1355876.6,'','','','','','','','','','','','',''
587.81,1433968.1,'','','','','','','','','','','','',''
591.61,1515369.9,'','','','','','','','','','','','',''
595.41,1600180.9,'','','','','','','','','','','','',''
599.21,1688503.8,'','','','','','','','','','','','',''
603.02,1780445.8,'','','','','','','','','','','','',''
606.82,1876118.4,'','','','','','','','','','','','',''
610.62,1975638.7,'','','','','','','','','','','','',''
614.42,2079129.3,'','','','','','','','','','','','',''
618.23,2186719.4,'','','','','','','','','','','','',''
622.03,2298545.4,'','','','','','','','','','','','',''
625.83,2414752.0,'','','','','','','','','','','','',''
629.63,2535492.9,'','','','','','','','','','','','',''
633.43,2660931.9,'','','','','','','','','','','','',''
637.24,2791244.8,'','','','','','','','','','','','',''
641.04,2926620.4,'','','','','','','','','','','','',''
644.84,3067262.9,'','','','','','','','','','','','',''
648.64,3213393.9,'','','','','','','','','','','','',''
652.45,3365255.3,'','','','','','','','','','','','',''
656.25,3523113.1,'','','','','','','','','','','','',''
660.05,3687261.8,'','','','','','','','','','','','',''
663.85,3858030.5,'','','','','','','','','','','','',''
667.66,4035790.8,'','','','','','','','','','','','',''
671.46,4220968.8,'','','','','','','','','','','','',''
675.26,4414061.5,'','','','','','','','','','','','',''
679.06,4615664.7,'','','','','','','','','','','','',''
682.86,4826519.8,'','','','','','','','','','','','',''
686.67,5047610.8,'','','','','','','','','','','','',''
694.27,5528265.5,'','','','','','','','','','','','',''
