T (K),P (Pa),T_c (K),P_c (Pa),V_c (m3 mol-1),Z_c,R (m3 Pa K−1 mol−1),w,a_c,b_c,m (Adachi-Lu),m (Soave),virialT,virialB,name
259.0,4220.0,508.1,4702000.0,0.209,0.23261786,8.31451,0.307,1.60130063242,0.000112308659374,0.978609,0.957888,300.4,-2030.0,acetone
267.9,7034.0,,,,,,,,,,,304.64,-1796.0,
277.1,11459.0,,,,,,,,,,,317.9,-1580.0,
286.5,18260.0,,,,,,,,,,,323.16,-1439.0,
296.4,28510.0,,,,,,,,,,,323.16,-1535.0,
306.5,43650.0,,,,,,,,,,,326.02,-1378.0,
317.0,65570.0,,,,,,,,,,,326.66,-1368.0,
327.9,96790.0,,,,,,,,,,,329.3,-1370.0,
339.1,140500.0,,,,,,,,,,,333.16,-1370.0,
350.7,200770.0,,,,,,,,,,,337.3,-1230.0,
362.8,282660.0,,,,,,,,,,,343.16,-1200.0,
375.2,392460.0,,,,,,,,,,,345.0,-1130.0,
388.1,537900.0,,,,,,,,,,,350.12,-1057.0,
401.3,728200.0,,,,,,,,,,,351.57,-981.0,
415.1,974900.0,,,,,,,,,,,370.06,-872.0,
429.3,1291700.0,,,,,,,,,,,377.05,-808.0,
444.0,1695500.0,,,,,,,,,,,402.38,-664.0,
459.3,2206700.0,,,,,,,,,,,405.12,-656.0,
475.0,2851700.0,,,,,,,,,,,405.2,-641.0,
491.3,3665100.0,,,,,,,,,,,430.35,-495.0,
506.4,4586900.0,,,,,,,,,,,430.88,-527.0,
508.1,4702000.0,,,,,,,,,,,,,
