T (K),P (Pa),x1,x2,x3,y1,y2,y3,k12,k13,k21,k23,k31,k32,r,s,k1_VdW,k2_VdW
342.4,101330,0,0.988,0,0.704,,,0,0,0,0,0,0,0,0,0,0
342.4,101330,0,0.0006,0,0.704,,,,,,,,,,,,
336.6,101330,0.222,0.745,0.3367,0.5177,,,,,,,,,,,,
336.6,101330,0.031,0.001,0.3367,0.5177,,,,,,,,,,,,
335.89,101330,0.266,0.696,0.3657,0.4836,,,,,,,,,,,,
335.89,101330,0.042,0.002,0.3657,0.4836,,,,,,,,,,,,
335.03,101330,0.321,0.609,0.4425,0.4278,,,,,,,,,,,,
335.03,101330,0.062,0.004,0.4425,0.4278,,,,,,,,,,,,
333.77,101330,0.42,0.467,0.5256,0.3223,,,,,,,,,,,,
333.77,101330,0.082,0.003,0.5256,0.3223,,,,,,,,,,,,
334.2,101330,0.406,0.487,0.4893,0.3784,,,,,,,,,,,,
334.2,101330,0.0807,0.0044,0.4893,0.3784,,,,,,,,,,,,
333.3,101330,0.449,0.419,0.5062,0.3369,,,,,,,,,,,,
333.3,101330,0.088,0.003,0.5062,0.3369,,,,,,,,,,,,
332.94,101330,0.5,0.319,0.5706,0.2777,,,,,,,,,,,,
332.94,101330,0.105,0.003,0.5706,0.2777,,,,,,,,,,,,
332.64,101330,0.521,0.179,0.6299,0.223,,,,,,,,,,,,
332.94,101330,0.143,0.004,0.6299,0.223,,,,,,,,,,,,
332.72,101330,0.6,0.32,0.6743,0.2446,,,,,,,,,,,,
331.12,101330,0.8,0.16,0.8535,0.1134,,,,,,,,,,,,
332.39,101330,0.6,0.24,0.679,0.2136,,,,,,,,,,,,
330.93,101330,0.8,0.12,0.8459,0.0953,,,,,,,,,,,,
331.44,101330,0.6,0.16,0.7102,0.181,,,,,,,,,,,,
330.68,101330,0.8,0.08,0.86,0.079,,,,,,,,,,,,
332.21,101330,0.6,0.08,0.7527,0.1192,,,,,,,,,,,,
330.66,101330,0.8,0.04,0.8797,0.0358,,,,,,,,,,,,
